partner,source_sheet,section,entity,metric,student_group,school_year,value,notes
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2023-24,0.803,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2024-25,0.794,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2016-17,0.403,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2017-18,0.276,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2018-19,0.5,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2019-20,--,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2020-21,0.367,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2021-22,0.584,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2022-23,0.495,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2023-24,0.463,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2024-25,0.407,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2016-17,0.294,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2017-18,0.291,
