partner,source_sheet,section,entity,metric,student_group,school_year,value,notes,record_type,student_count,category,location,period,circulation,program_attendance,visitation,enrollment_count,books_read,met_minimum,books_distributed
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2020-21,0.69,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2021-22,0.749,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2022-23,0.774,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2023-24,0.803,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Read to Achieve,Met Grade 3 Benchmark,2024-25,0.794,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2016-17,0.403,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2017-18,0.276,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2018-19,0.5,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2019-20,--,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2020-21,0.367,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2021-22,0.584,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2022-23,0.495,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2023-24,0.463,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Read to Achieve,Did Not Meet Grade 3 Benchmark,2024-25,0.407,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2016-17,0.294,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2017-18,0.291,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2018-19,0.331,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Read to Achieve,Did Not Meet Grade 3 Benchmark,2019-20,--,,reading_assessment,,,,,,,,,,,
